Iterative energy output:_________________________________________________________________________________

0	9.20572	0
1	8.68409	0.521631
2	8.72544	0.0413508
3	8.72218	0.00325869
4	8.72243	0.00025693

Iterative pomexa output:_________________________________________________________________________________

0	36.6486	0
1	26.1526	10.496
2	29.1015	2.94887
3	28.2291	0.87239
4	28.4836	0.254532
5	28.409	0.0745737
6	28.4309	0.0218224
7	28.4245	0.00638815
8	28.4263	0.00186983
9	28.4258	0.00054732

22_08_2025
